FRN,ProviderName,records,blocks
0000010827,Veracity Networks,4008,4008
0000012542,SERVICE ONE CABLE,726,726
0000012781,"NEU VENTURES, INC.",2014,1737
0000012849,"MUTUAL COMMUNICATIONS SERVICES, INC.",21,21
0000013722,RAINBOW COMMUNICATIONS LLC,6258,4902
0000014936,MID-HUDSON CABLEVISION,1733,1733
0000017640,"ADVOCATE COMMUNICATIONS, INC.",1178,1178
0000017756,COMMUNITY ANTENNA SYSTEM INC,112,112
0000053124,US SONET LLC,680,680
0001514090,"Sandwich Isles Communications, Inc.",184,169
0001520980,"Hawaiian Telcom, Inc.",30845,9028
0001536424,Verizon California Inc.,100952,85414
0001543347,Calaveras Telephone Company,244,222
0001545748,The Ponderosa Telephone Co.,934,934
0001546068,Foresthill Telephone Co,3166,2028
0001546746,Ducor Telephone Company,123,123
0001547462,"CALIFORNIA OREGON BROADCASTING, INC.",1159,1159
0001551241,The Siskiyou Telephone Co.,1225,1148
0001551423,Rural Telephone Company,345,345
0001551837,Kerman Telephone Co,3166,2028
0001553585,Day Management Corp dba Day Wireless Systems,1,1
0001559798,Roome Telecommunications Inc,168,168
0001562388,Stayton Cooperative Telephone Company,686,539
0001564186,PUD No 1 of Chelan County,1468,1468
0001564293,Okanogan County PUD No. 1,3470,2489
0001564350,"Public Utility District #2 of Grant County, WA",2937,2815
0001565316,Pioneer Telephone Cooperative,1323,1205
0001565829,Beaver Creek Cooperative Telephone Company,292,240
0001566306,"Douglas Services Inc, dba Douglas Fast Net",8299,8299
0001566983,Pinpoint Communications Inc.,21897,21466
0001568880,GCI Communication Corp.,10548334,10535219
0001568971,"Northland Cable Properties, Inc.",2650,1325
0001570548,"Futaris, Inc.",27019,27019
0001570936,"Arctic Slope Telephone Association Cooperative, Inc.",2530,253
0001571181,Cordova Telephone Cooperative Inc,65,65
0001571561,"United Utilities, Inc.",1254,1039
0001572932,"Copper Valley Telephone Cooperative, Inc.",284,284
0001573427,Matanuska Telephone Association Inc.,2342,2294
0001573690,Northland Cable Properties Eight Limited Partnership,1338,669
0001576628,Coast Communications Co. Inc.,347,345
0001579747,"Northland Cable Television, Inc.",18220,9110
0001581297,Ellensburg Telephone Company,3068,1698
0001581974,"YCOM Networks, Inc",1352,685
0001583194,Western Wahkiakum County Telephone Company,350,219
0001583350,Inland Telephone Company,461,379
0001584267,Davis Communications Inc,616,616
0001584275,Pioneer Telephone Company,91,91
0001584960,Alaska Telephone Company,737,737
0001585397,Churchill County Telephone dba CC Communications,955,756
0001587625,Fremont Telcom Co.,551,546
0001590595,Gunnison Telephone Company,323,318
0001592724,"Gateway Telecom, LLC",258,249
0001593938,"Copper Valley Telephone, Inc.",1228,1195
0001596667,Rio Virgin Telephone Company,353,353
0001596717,"The Lincoln County Telephone System, Inc.",1863,1395
0001598457,Spanish Fork City,2913,971
0001600923,"American Wireless, Inc. (UT)",7745,7745
0001601996,Tohono O'odham Utility Authority,2698,2357
0001603042,"Valley Telephone Cooperative, Inc.",2129,1612
0001604404,River Canyon Wireless,3611,3611
0001607175,"South Central Utah Telephone Association, Inc.",26976,9892
0001607340,Emery Telephone,3696,1729
0001607829,"Roosevelt County Rural Telephone Cooperative, Inc.",1682,1213
0001607845,E.N.M.R. Telephone Cooperative,1516,1423
0001609676,"Southwestern Wireless, Inc",1443,1443
0001611334,"Kentec Communications, Inc.",7598,7131
0001613330,Copper Mountain Consolidated Metropolitan District,13,13
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",1967,1460
0001615665,The Rye Telephone Company,1532,532
0001615889,"Plains Cooperative Telephone Association, Inc.",1279,1279
0001616192,Wiggins Telephone Association,617,617
0001616200,Haxtun Telephone Company,1045,872
0001616937,La Jicarita Rural Telephone Cooperative,420,420
0001621127,City of Glenwood Springs,47,47
0001623321,Custer Telephone Broadband Services LLC,1273,775
0001623321,"Custer Telephone Cooperative, Inc.",1487,999
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",15529,5760
0001628288,COLLINS COMMUNICATIONS INC.,486,486
0001629294,Richon Inc.,1857,1857
0001629781,"Dubois Telephone Exchange, Inc.",752,752
0001630201,Union Telephone Company,447,447
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",884,626
0001631084,Chugwater Telephone Company,2,1
0001631134,Bridger Valley Electric Association Inc,138,138
0001637222,Triangle Communication Systems Inc,673,673
0001643006,Ronan Telephone Co,14,8
0001644798,Wes Tex Telephone Cooperative Inc,3411,3207
0001646140,Range Telephone Cooperative Inc,5125,5125
0001646165,"Blackfoot Telephone Cooperative, Inc.",2152,2133
0001646454,"3 Rivers Telephone Cooperative, Inc. d/b/a 3 Rivers Communications",5500,5500
0001646470,NEMONT TELEPHONE COOPERATIVE INC,21987,11668
0001646587,"Mid-Rivers Telephone Cooperative, Inc.",24802,12162
0001647734,"Lincoln Telephone Company , Inc.",491,491
0001648039,Southern Montana Telephone Company,1677,1677
0001649847,TABLE TOP TELEPHONE COMPANY,660,659
0001650233,"XIT Telecommunication & Technology, Ltd.",616,589
0001655125,"W.T. Services, Inc.",1070,1063
0001664481,"Dell Telephone Cooperative, Inc.",1390,1083
0001665835,"ETEX Communications, LP",524,497
0001667765,"WESTERN NEW MEXICO TELEPHONE COMPANY, INC.",2562,1281
0001676519,"Cap Rock Telephone Cooperative, Inc.",940,939
0001677335,"Border to Border Communications, Inc.",1814,1814
0001677392,Texas Electronic Transport Co,2,2
0001678044,"Coleman County Telephone Coop, Inc",2920,2194
0001678788,"PEOPLES TELEPHONE COOPERATIVE, INC.",18855,14205
0001678804,"XIT Rural Telephone Cooperative, Inc.",1680,1678
0001680263,GTE Southwest Incorporated dba Verizon Southwest,44003,41041
0001683630,Industry Telephone Company,813,813
0001684166,"Big Bend Telephone Company, Inc.",23386,13698
0001685718,"Valley Telephone Cooperative, Inc.",4855,3854
0001685841,Hill Country Telecommunications,262,262
0001685841,"Hill Country Telephone Cooperative, Inc.",1939,1848
0001687326,Wharton County Electric Cooperative Inc,2339,2339
0001687557,Southwest Texas Telephone Company,2201,1640
0001687813,"Windstream Communications Kerrville, LLC",932,932
0001698752,Canadian Valley Telephone Company,423,381
0001699412,Oklahoma Western Telephone Company,1399,1399
0001699578,"OKLATEL COMMUNICATIONS, INC.",1373,1373
0001699776,Pine Telephone Company,6101,3068
0001700186,Carnegie Telephone Company,676,676
0001700418,Panhandle Telephone Cooperative Inc,15771,10365
0001700459,Grand Telephone Company,880,877
0001700616,Cross Telephone Company,1301,1301
0001700632,McLoud Telephone Co,696,696
0001700855,BIXBY TELEPHONE CO.,858,740
0001700863,"Pioneer Telephone Cooperative, Inc.",49251,40968
0001700905,"Central Oklahoma Telephone Co., LLC",1046,1034
0001700947,Beggs Telephone Co Inc,507,507
0001701275,Cimarron Telephone Company,1371,818
0001704246,Panhandle Telecommunication Systems Inc,5129,4061
0001714146,Kaplan Telephone Co Inc,4803,1601
0001714567,"Northeast Louisiana Telephone Co., Inc.",169,169
0001714781,"Lafourche Telephone Company, LLC",5302,2402
0001715937,"Cameron Telephone Company, LLC",1205,1205
0001717743,Conway Corporation,2858,1429
0001726256,"Choice Communications, LLC",4680,4680
0001730126,Walnut Hill Telephone Company,1924,1740
0001730142,South Arkansas Telephone Co.,1333,1333
0001730944,Mountain View Telephone Company,1165,1165
