FRN,ProviderName,StateAbbr,TechCode,records,blocks
0000010827,Veracity Networks,UT,50,4008,4008
0000012542,SERVICE ONE CABLE,LA,42,726,726
0000012781,"NEU VENTURES, INC.",TX,41,921,921
0000012781,"NEU VENTURES, INC.",TX,70,1093,1093
0000012849,"MUTUAL COMMUNICATIONS SERVICES, INC.",IA,41,21,21
0000013722,RAINBOW COMMUNICATIONS LLC,KS,42,1356,1356
0000013722,RAINBOW COMMUNICATIONS LLC,KS,70,4902,4902
0000014936,MID-HUDSON CABLEVISION,NY,42,1733,1733
0000017640,"ADVOCATE COMMUNICATIONS, INC.",FL,42,1178,1178
0000017756,COMMUNITY ANTENNA SYSTEM INC,WI,41,112,112
0000053124,US SONET LLC,IL,50,680,680
0001514090,"Sandwich Isles Communications, Inc.",HI,10,117,117
0001514090,"Sandwich Isles Communications, Inc.",HI,50,67,67
0001520980,"Hawaiian Telcom, Inc.",HI,10,8596,8596
0001520980,"Hawaiian Telcom, Inc.",HI,11,7620,7620
0001520980,"Hawaiian Telcom, Inc.",HI,12,4453,4453
0001520980,"Hawaiian Telcom, Inc.",HI,20,7727,7727
0001520980,"Hawaiian Telcom, Inc.",HI,50,2449,2449
0001536424,Verizon California Inc.,CA,10,56555,56555
0001536424,Verizon California Inc.,CA,50,44397,44397
0001543347,Calaveras Telephone Company,CA,10,158,158
0001543347,Calaveras Telephone Company,CA,50,36,36
0001543347,Calaveras Telephone Company,CA,70,50,50
0001545748,The Ponderosa Telephone Co.,CA,10,924,924
0001545748,The Ponderosa Telephone Co.,CA,50,10,10
0001546068,Foresthill Telephone Co,CA,10,1278,1278
0001546068,Foresthill Telephone Co,CA,50,333,319
0001546068,Foresthill Telephone Co,CA,70,1555,1555
0001546746,Ducor Telephone Company,CA,10,123,123
0001547462,"CALIFORNIA OREGON BROADCASTING, INC.",OR,42,1159,1159
0001551241,The Siskiyou Telephone Co.,CA,11,1148,1148
0001551241,The Siskiyou Telephone Co.,CA,50,77,77
0001551423,Rural Telephone Company,ID,10,102,102
0001551423,Rural Telephone Company,ID,40,140,140
0001551423,Rural Telephone Company,NV,10,103,103
0001551837,Kerman Telephone Co,CA,10,1278,1278
0001551837,Kerman Telephone Co,CA,50,333,319
0001551837,Kerman Telephone Co,CA,70,1555,1555
0001553585,Day Management Corp dba Day Wireless Systems,OR,70,1,1
0001559798,Roome Telecommunications Inc,OR,11,109,109
0001559798,Roome Telecommunications Inc,OR,12,59,59
0001562388,Stayton Cooperative Telephone Company,OR,10,379,378
0001562388,Stayton Cooperative Telephone Company,OR,50,307,307
0001564186,PUD No 1 of Chelan County,WA,50,1468,1468
0001564293,Okanogan County PUD No. 1,WA,50,1050,1050
0001564293,Okanogan County PUD No. 1,WA,70,2420,2420
0001564350,"Public Utility District #2 of Grant County, WA",WA,50,2527,2527
0001564350,"Public Utility District #2 of Grant County, WA",WA,70,410,410
0001565316,Pioneer Telephone Cooperative,OR,11,502,502
0001565316,Pioneer Telephone Cooperative,OR,12,821,821
0001565829,Beaver Creek Cooperative Telephone Company,OR,11,248,226
0001565829,Beaver Creek Cooperative Telephone Company,OR,50,44,44
0001566306,"Douglas Services Inc, dba Douglas Fast Net",OR,50,8299,8299
0001566983,Pinpoint Communications Inc.,CO,70,3237,3237
0001566983,Pinpoint Communications Inc.,KS,70,362,362
0001566983,Pinpoint Communications Inc.,NE,10,507,507
0001566983,Pinpoint Communications Inc.,NE,40,48,48
0001566983,Pinpoint Communications Inc.,NE,50,404,404
0001566983,Pinpoint Communications Inc.,NE,70,17339,17339
0001568880,GCI Communication Corp.,AK,10,17,17
0001568880,GCI Communication Corp.,AK,30,1181,1181
0001568880,GCI Communication Corp.,AK,40,9,9
0001568880,GCI Communication Corp.,AK,41,583,583
0001568880,GCI Communication Corp.,AK,42,8658,8658
0001568880,GCI Communication Corp.,AK,50,935,935
0001568880,GCI Communication Corp.,AK,60,27019,27019
0001568880,GCI Communication Corp.,AK,70,1717,1717
0001568880,GCI Communication Corp.,AL,60,236156,236156
0001568880,GCI Communication Corp.,AR,60,173203,173203
0001568880,GCI Communication Corp.,AZ,60,237844,237844
0001568880,GCI Communication Corp.,CA,60,691487,691487
0001568880,GCI Communication Corp.,CO,60,194545,194545
0001568880,GCI Communication Corp.,CT,60,64389,64389
0001568880,GCI Communication Corp.,DC,60,6332,6332
0001568880,GCI Communication Corp.,DE,60,23241,23241
0001568880,GCI Communication Corp.,FL,60,454345,454345
0001568880,GCI Communication Corp.,GA,60,270032,270032
0001568880,GCI Communication Corp.,HI,60,23622,23622
0001568880,GCI Communication Corp.,IA,60,210934,210934
0001568880,GCI Communication Corp.,ID,60,141584,141584
0001568880,GCI Communication Corp.,IL,60,437591,437591
0001568880,GCI Communication Corp.,IN,60,259425,259425
0001568880,GCI Communication Corp.,KS,60,231225,231225
0001568880,GCI Communication Corp.,KY,60,145282,145282
0001568880,GCI Communication Corp.,LA,60,189692,189692
0001568880,GCI Communication Corp.,MA,60,145915,145915
0001568880,GCI Communication Corp.,MD,60,136555,136555
0001568880,GCI Communication Corp.,ME,60,61905,61905
0001568880,GCI Communication Corp.,MI,60,305902,305902
0001568880,GCI Communication Corp.,MN,30,1,1
0001568880,GCI Communication Corp.,MN,60,240553,240553
0001568880,GCI Communication Corp.,MO,60,323774,323774
0001568880,GCI Communication Corp.,MS,60,165387,165387
0001568880,GCI Communication Corp.,MT,30,1,1
0001568880,GCI Communication Corp.,MT,60,125989,125989
0001568880,GCI Communication Corp.,NC,60,275037,275037
0001568880,GCI Communication Corp.,ND,60,129059,129059
0001568880,GCI Communication Corp.,NE,60,187843,187843
0001568880,GCI Communication Corp.,NH,60,44910,44910
0001568880,GCI Communication Corp.,NJ,60,160029,160029
0001568880,GCI Communication Corp.,NM,30,1,1
0001568880,GCI Communication Corp.,NM,60,165895,165895
0001568880,GCI Communication Corp.,NV,60,83632,83632
0001568880,GCI Communication Corp.,NY,60,336787,336787
0001568880,GCI Communication Corp.,OH,60,352542,352542
0001568880,GCI Communication Corp.,OK,60,255094,255094
0001568880,GCI Communication Corp.,OR,60,191553,191553
0001568880,GCI Communication Corp.,PA,60,406138,406138
0001568880,GCI Communication Corp.,RI,60,23489,23489
0001568880,GCI Communication Corp.,SC,60,172067,172067
0001568880,GCI Communication Corp.,SD,60,84873,84873
0001568880,GCI Communication Corp.,TN,60,234756,234756
0001568880,GCI Communication Corp.,TX,60,876637,876637
0001568880,GCI Communication Corp.,UT,60,114112,114112
0001568880,GCI Communication Corp.,VA,60,262756,262756
0001568880,GCI Communication Corp.,VT,60,28390,28390
0001568880,GCI Communication Corp.,WA,30,25,25
0001568880,GCI Communication Corp.,WA,50,8,8
0001568880,GCI Communication Corp.,WA,60,183933,183933
0001568880,GCI Communication Corp.,WI,60,232117,232117
0001568880,GCI Communication Corp.,WV,60,125575,125575
0001568880,GCI Communication Corp.,WY,60,84046,84046
0001568971,"Northland Cable Properties, Inc.",ID,41,369,369
0001568971,"Northland Cable Properties, Inc.",ID,42,369,369
0001568971,"Northland Cable Properties, Inc.",NC,41,956,956
0001568971,"Northland Cable Properties, Inc.",NC,42,956,956
0001570548,"Futaris, Inc.",AK,60,27019,27019
0001570936,"Arctic Slope Telephone Association Cooperative, Inc.",AK,11,1265,253
0001570936,"Arctic Slope Telephone Association Cooperative, Inc.",AK,20,1265,253
0001571181,Cordova Telephone Cooperative Inc,AK,10,65,65
0001571561,"United Utilities, Inc.",AK,10,473,473
0001571561,"United Utilities, Inc.",AK,70,781,781
0001572932,"Copper Valley Telephone Cooperative, Inc.",AK,11,284,284
0001573427,Matanuska Telephone Association Inc.,AK,11,2291,2291
0001573427,Matanuska Telephone Association Inc.,AK,50,51,51
0001573690,Northland Cable Properties Eight Limited Partnership,AL,41,346,346
0001573690,Northland Cable Properties Eight Limited Partnership,AL,42,346,346
0001573690,Northland Cable Properties Eight Limited Partnership,GA,41,323,323
0001573690,Northland Cable Properties Eight Limited Partnership,GA,42,323,323
0001576628,Coast Communications Co. Inc.,WA,42,345,345
0001576628,Coast Communications Co. Inc.,WA,50,2,2
0001579747,"Northland Cable Television, Inc.",CA,41,963,963
0001579747,"Northland Cable Television, Inc.",CA,42,963,963
0001579747,"Northland Cable Television, Inc.",GA,41,1292,1292
0001579747,"Northland Cable Television, Inc.",GA,42,1292,1292
0001579747,"Northland Cable Television, Inc.",NC,41,262,262
0001579747,"Northland Cable Television, Inc.",NC,42,262,262
0001579747,"Northland Cable Television, Inc.",SC,41,3011,3011
0001579747,"Northland Cable Television, Inc.",SC,42,3011,3011
0001579747,"Northland Cable Television, Inc.",TX,41,2531,2531
0001579747,"Northland Cable Television, Inc.",TX,42,2531,2531
0001579747,"Northland Cable Television, Inc.",WA,41,1051,1051
0001579747,"Northland Cable Television, Inc.",WA,42,1051,1051
0001581297,Ellensburg Telephone Company,WA,11,1698,1698
0001581297,Ellensburg Telephone Company,WA,12,1328,1328
0001581297,Ellensburg Telephone Company,WA,50,42,42
0001581974,"YCOM Networks, Inc",WA,11,678,678
0001581974,"YCOM Networks, Inc",WA,12,639,639
0001581974,"YCOM Networks, Inc",WA,50,35,35
0001583194,Western Wahkiakum County Telephone Company,WA,10,218,218
0001583194,Western Wahkiakum County Telephone Company,WA,50,132,132
0001583350,Inland Telephone Company,ID,11,54,54
0001583350,Inland Telephone Company,WA,11,300,300
0001583350,Inland Telephone Company,WA,50,81,81
0001583350,Inland Telephone Company,WA,70,26,26
0001584267,Davis Communications Inc,WA,42,616,616
0001584275,Pioneer Telephone Company,WA,10,91,91
0001584960,Alaska Telephone Company,AK,10,737,737
0001585397,Churchill County Telephone dba CC Communications,NV,11,558,558
0001585397,Churchill County Telephone dba CC Communications,NV,50,397,397
0001587625,Fremont Telcom Co.,ID,11,545,545
0001587625,Fremont Telcom Co.,ID,30,6,6
0001590595,Gunnison Telephone Company,UT,10,318,318
0001590595,Gunnison Telephone Company,UT,50,5,5
0001592724,"Gateway Telecom, LLC",OH,70,16,16
0001592724,"Gateway Telecom, LLC",PA,70,1,1
0001592724,"Gateway Telecom, LLC",WV,30,18,18
0001592724,"Gateway Telecom, LLC",WV,70,223,223
0001593938,"Copper Valley Telephone, Inc.",AZ,11,1178,1178
0001593938,"Copper Valley Telephone, Inc.",AZ,50,33,33
0001593938,"Copper Valley Telephone, Inc.",NM,11,17,17
0001596667,Rio Virgin Telephone Company,AZ,10,6,6
0001596667,Rio Virgin Telephone Company,AZ,50,101,101
0001596667,Rio Virgin Telephone Company,NV,10,11,11
0001596667,Rio Virgin Telephone Company,NV,50,235,235
0001596717,"The Lincoln County Telephone System, Inc.",NV,11,1160,1160
0001596717,"The Lincoln County Telephone System, Inc.",NV,12,200,200
0001596717,"The Lincoln County Telephone System, Inc.",NV,50,503,503
0001598457,Spanish Fork City,UT,41,971,971
0001598457,Spanish Fork City,UT,42,971,971
0001598457,Spanish Fork City,UT,50,971,971
0001600923,"American Wireless, Inc. (UT)",UT,70,7745,7745
0001601996,Tohono O'odham Utility Authority,AZ,10,1924,1924
0001601996,Tohono O'odham Utility Authority,AZ,50,774,774
0001603042,"Valley Telephone Cooperative, Inc.",AZ,11,1405,1405
0001603042,"Valley Telephone Cooperative, Inc.",AZ,50,520,520
0001603042,"Valley Telephone Cooperative, Inc.",NM,11,177,177
0001603042,"Valley Telephone Cooperative, Inc.",NM,50,27,27
0001604404,River Canyon Wireless,UT,70,3611,3611
0001607175,"South Central Utah Telephone Association, Inc.",AZ,11,331,331
0001607175,"South Central Utah Telephone Association, Inc.",AZ,12,331,331
0001607175,"South Central Utah Telephone Association, Inc.",AZ,30,331,331
0001607175,"South Central Utah Telephone Association, Inc.",AZ,70,35,35
0001607175,"South Central Utah Telephone Association, Inc.",UT,11,7187,7187
0001607175,"South Central Utah Telephone Association, Inc.",UT,12,7187,7187
0001607175,"South Central Utah Telephone Association, Inc.",UT,30,7187,7187
0001607175,"South Central Utah Telephone Association, Inc.",UT,42,1316,1316
0001607175,"South Central Utah Telephone Association, Inc.",UT,50,1380,1380
0001607175,"South Central Utah Telephone Association, Inc.",UT,70,1691,1691
0001607340,Emery Telephone,UT,10,1608,1608
0001607340,Emery Telephone,UT,42,1157,1157
0001607340,Emery Telephone,UT,50,931,931
0001607829,"Roosevelt County Rural Telephone Cooperative, Inc.",NM,11,729,729
0001607829,"Roosevelt County Rural Telephone Cooperative, Inc.",NM,50,339,339
0001607829,"Roosevelt County Rural Telephone Cooperative, Inc.",NM,70,614,614
0001607845,E.N.M.R. Telephone Cooperative,NM,10,800,800
0001607845,E.N.M.R. Telephone Cooperative,NM,20,10,10
0001607845,E.N.M.R. Telephone Cooperative,NM,50,617,617
0001607845,E.N.M.R. Telephone Cooperative,TX,10,27,27
0001607845,E.N.M.R. Telephone Cooperative,TX,50,62,62
0001609676,"Southwestern Wireless, Inc",NM,70,1087,1087
0001609676,"Southwestern Wireless, Inc",TX,70,356,356
0001611334,"Kentec Communications, Inc.",CO,41,59,59
0001611334,"Kentec Communications, Inc.",CO,50,408,408
0001611334,"Kentec Communications, Inc.",CO,70,5404,5404
0001611334,"Kentec Communications, Inc.",NE,70,1727,1727
0001613330,Copper Mountain Consolidated Metropolitan District,CO,40,13,13
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",ID,11,648,648
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",ID,12,669,669
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",ID,50,587,587
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",WY,11,18,18
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",WY,12,21,21
0001615095,"Columbine Telephone Company, Inc. dba Silver Star Communications",WY,50,24,24
0001615665,The Rye Telephone Company,CO,10,469,469
0001615665,The Rye Telephone Company,CO,50,531,531
0001615665,The Rye Telephone Company,CO,70,532,532
0001615889,"Plains Cooperative Telephone Association, Inc.",CO,50,1279,1279
0001616192,Wiggins Telephone Association,CO,50,617,617
0001616200,Haxtun Telephone Company,CO,11,872,872
0001616200,Haxtun Telephone Company,CO,12,146,146
0001616200,Haxtun Telephone Company,CO,20,27,27
0001616937,La Jicarita Rural Telephone Cooperative,NM,10,254,254
0001616937,La Jicarita Rural Telephone Cooperative,NM,50,143,143
0001616937,La Jicarita Rural Telephone Cooperative,NM,70,23,23
0001621127,City of Glenwood Springs,CO,50,47,47
0001623321,Custer Telephone Broadband Services LLC,ID,42,272,272
0001623321,Custer Telephone Broadband Services LLC,ID,50,254,254
0001623321,Custer Telephone Broadband Services LLC,ID,70,747,747
0001623321,"Custer Telephone Cooperative, Inc.",ID,11,635,635
0001623321,"Custer Telephone Cooperative, Inc.",ID,12,338,338
0001623321,"Custer Telephone Cooperative, Inc.",ID,50,514,514
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,10,4522,4522
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,11,3883,3883
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,12,928,928
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,20,928,928
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,30,928,928
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,50,1382,1382
0001623818,"Project Mutual Telephone Cooperative Association, Inc.",ID,70,2958,2958
0001628288,COLLINS COMMUNICATIONS INC.,MT,70,1,1
0001628288,COLLINS COMMUNICATIONS INC.,NY,70,1,1
0001628288,COLLINS COMMUNICATIONS INC.,WY,70,484,484
0001629294,Richon Inc.,MT,70,1857,1857
0001629781,"Dubois Telephone Exchange, Inc.",CO,10,21,21
0001629781,"Dubois Telephone Exchange, Inc.",CO,11,36,36
0001629781,"Dubois Telephone Exchange, Inc.",CO,12,13,13
0001629781,"Dubois Telephone Exchange, Inc.",CO,50,29,29
0001629781,"Dubois Telephone Exchange, Inc.",CO,70,2,2
0001629781,"Dubois Telephone Exchange, Inc.",WY,10,35,35
0001629781,"Dubois Telephone Exchange, Inc.",WY,11,183,183
0001629781,"Dubois Telephone Exchange, Inc.",WY,12,216,216
0001629781,"Dubois Telephone Exchange, Inc.",WY,50,209,209
0001629781,"Dubois Telephone Exchange, Inc.",WY,70,8,8
0001630201,Union Telephone Company,CO,10,1,1
0001630201,Union Telephone Company,UT,20,41,41
0001630201,Union Telephone Company,WY,10,233,233
0001630201,Union Telephone Company,WY,20,172,172
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",ID,11,48,48
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",ID,12,43,43
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",ID,50,15,15
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",WY,11,106,106
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",WY,12,361,361
0001630532,"Silver Star Telephone Company, Inc. dba Silver Star Communications",WY,50,311,311
0001631084,Chugwater Telephone Company,WY,11,1,1
0001631084,Chugwater Telephone Company,WY,70,1,1
0001631134,Bridger Valley Electric Association Inc,WY,70,138,138
